tags|intent
edit###B-action the###B-attribute harsh###I-attribute lighting###I-attribute|adjust
decrease###B-action the###B-attribute hilights###I-attribute in###B-mask background###I-mask|adjust
increase###B-action saturation###B-attribute a###B-value bit###I-value on###B-mask the###I-mask elephants###I-mask|adjust
clone###B-action out###I-action the###I-dstobject dirty###I-mask parts###I-mask on###B-dstobject the###I-dstobject baby###I-dstobject s###I-dstobject back###I-dstobject|clone
decrease###B-action blur###B-attribute on###B-mask left###I-mask side###I-mask of###I-mask elephant###I-mask|adjust
remove###B-action the###I-intent bottom###I-mask fence###I-mask so###B-intent the###I-intent elephants###I-intent trunk###I-intent can###I-intent be###I-intent seen###I-intent|delete
totally###O remove###B-action the###B-mask fencing###I-mask|delete
remove###B-action the###B-mask thatch###I-mask roofing###I-mask|delete
make###B-intent the###I-intent background###I-intent look###I-intent like###I-intent they###I-intent are###I-intent in###I-intent their###I-intent natural###I-intent habitat###I-intent greenery###I-intent remove###B-action white###B-attribute out###B-value of###I-value focus###I-value color###I-value|adjust
add###B-action another###B-mask baby###I-mask elephant###I-mask on###B-mask the###I-mask right###I-mask playing###I-mask with###I-mask the###I-mask other###I-mask small###I-mask elephant###I-mask|add
remove###B-action the###B-mask elephant###I-mask not###I-mask looking###I-mask forward###I-mask|delete
get###B-action rid###I-action of###I-action the###I-mask washed###I-mask out###I-mask area###I-mask on###B-mask the###I-mask right###I-mask|delete
add###B-action some###B-mask sheen###I-mask to###B-mask the###I-mask fence###I-mask|add
put###B-action more###B-value light###B-attribute on###B-mask the###I-mask elephant###I-mask remaining###I-mask|adjust
can###O you###O add###B-action greeen###B-attribute to###B-mask the###I-mask grass###I-mask on###I-mask the###I-mask ground###I-mask|add
darken###B-action the###I-intent background###I-mask so###B-intent that###I-intent we###I-intent can###I-intent see###I-intent the###I-intent grass###I-intent rocks###I-intent better###I-intent|adjust
crop###B-action the###I-mask photo###I-mask to###B-mask eliminate###I-intent the###I-mask space###I-intent to###B-mask the###I-mask left###I-mask and###I-mask right###I-mask of###I-mask the###I-mask elephants###I-mask|crop
sharpen###B-action the###I-mask display###I-mask of###I-mask the###I-mask elephants###I-mask|adjust
mute###B-action the###I-mask green###I-mask color###I-mask in###I-mask the###I-mask photo###I-mask|adjust
increase###B-action contrast###B-attribute between###B-value the###I-value brown###I-value and###I-value black###I-value colors###I-value|adjust
make###B-action elephants###B-mask more###B-value defined###B-attribute|adjust
more###B-action saturation###B-attribute|adjust
brighter###B-attribute|adjust
make###B-action the###B-mask elephants###I-mask eyes###I-mask stand###B-value out###I-value more###I-value|adjust
make###B-action the###B-mask background###I-mask brighter###B-attribute|adjust
add###B-action some###O contrast###B-attribute sharpness###I-attribute to###B-mask the###I-mask picture###I-mask|adjust
lower###B-action the###I-mask glare###I-attribute in###B-mask the###I-mask back###I-mask room###I-mask wall###I-mask that###I-mask is###I-mask extending###I-mask into###I-mask the###I-mask doorway###I-mask|adjust
remove###B-action the###I-mask unfocused###I-mask shiny###I-mask circle###I-mask on###B-mask the###I-mask bottom###I-mask left###I-mask hand###I-mask corner###I-mask of###I-mask the###I-mask picture###I-mask|delete
add###B-action some###B-mask more###I-mask light###I-mask to###B-mask the###I-mask left###I-mask hand###I-mask side###I-mask of###I-mask the###I-mask picture###I-mask|add
